gene,pvalue,logFC
G6562,8.857775216866369e-06,0.7135024738142677
G954,5.6009132141276354e-05,-0.7200383216889843
G7023,8.106923799147029e-05,0.6163592744262829
G1304,0.0002284299974405302,0.6190895991754032
G7678,0.00029792863980072015,-0.5915746820989154
G3544,0.0003803713646621371,0.5709047334580625
G235,0.0004891762135252585,-0.603092037571732
G2474,0.0005101665729087682,-0.6144121866225893
G490,0.0005778602065884404,-0.6176418787022906
G3871,0.000731853295652251,0.6012839995469443
G1360,0.0007416610149456672,0.5947928181844796
G3706,0.0009401167205635941,0.5790197384232113
G989,0.0011043730175020854,0.5209115345038614
G1580,0.0013327080158932155,-0.5675072424893237
G410,0.0013507491759955593,0.5479564859785666
G2885,0.0016126375471273036,-0.5553894334557041
G1074,0.0016671279075269445,-0.5499952839701707
G3424,0.0017109045687279092,0.5564558445078817
G2100,0.00172657626981088,0.540835805563993
G332,0.001782112261948819,0.5484832779568174
G3286,0.0017950318237920436,0.5361618944079081
G4599,0.001813698830298061,-0.5558175270496029
G7041,0.001860366093830497,-0.5790914983495103
G1892,0.0018892509838910627,0.539558214715901
G7072,0.0018941499497137993,0.5554504147358904
G4069,0.0019145856281759172,0.5428052420574467
G3659,0.0019171000166052913,0.5563432333486216
G7643,0.00206772240958498,0.5481690745051826
G5592,0.0020939300407255518,-0.5116657414242054
G7255,0.002143000423564944,-0.530283245001409
G6301,0.0022233825969086487,-0.49708976313210407
G7467,0.002312987880679087,-0.5326455583305791
G224,0.0023167591524821504,0.5502703665704547
G4384,0.002459300181441697,-0.5090572001523659
G2069,0.0027394655308099233,-0.5126157593219309
G4366,0.0027509985647432445,0.526460433850073
G759,0.00292312180034051,0.50872452377972
G3904,0.0032166138351083463,-0.50480812959754
G5546,0.0032194812962330344,-0.5215114393460705
G5371,0.003360721567936957,-0.5229842160907339
G411,0.0034885609240600324,-0.49751283639451704
G5591,0.0035581635777359477,0.48311856996986585
G1868,0.0037731223081448355,0.5168876396399362
G1162,0.003846154493084792,-0.5102905264917185
G3878,0.0039056057539684254,-0.5165060317068007
G4852,0.0039906043386925836,0.4994501459428624
G6124,0.004054160229421934,0.5181152751783303
G2966,0.004064077044759884,0.49096885170914434
G77,0.004240842661884624,0.5242218783418113
G5405,0.0043196144719268355,-0.48949125155255924
G1332,0.004378205537736131,0.495696616019287
G3712,0.0044983339371835115,-0.4580448159867182
G4033,0.004512689024257655,0.4887250293112168
G4486,0.00453905836035777,-0.4739122312086326
G6192,0.004677384255571658,0.49153687415830255
G7604,0.0047170303570163285,0.4850204019570552
G1306,0.004759024663171109,-0.4830112268602825
G7052,0.004761452161978538,-0.49598202866743035
G7197,0.0048554908796357875,-0.4832821770149345
G220,0.00485698029744629,0.4628666888870815
G7571,0.00489251889282721,-0.4590382541951674
G4987,0.0048952660555829,-0.48707277031201823
G6786,0.005636811055368782,-0.5004747984994316
G3078,0.005757115547542012,0.48921963642420147
G2856,0.006206081223713614,-0.5043641231348044
G6951,0.006428904859920258,-0.4601588791562452
G7593,0.00658291830713471,0.4466797991868966
G4400,0.006692592290312917,0.5049918332787342
G7640,0.006912714062915022,0.45999917503505167
G278,0.007091813326698339,0.47530317155146123
G842,0.007215763386873498,-0.4318430896741974
G6033,0.007225357001227186,-0.4496884325034366
G5817,0.007240392370552802,-0.4705673443401778
G3129,0.007291065610787895,0.45722149665913614
G7032,0.007425151989436914,0.4433844185203327
G4436,0.007448426807511899,0.46557937174821995
G948,0.007482262986962766,-0.4499156804421309
G2180,0.007721281714707305,-0.472563451698132
G3619,0.007787535591553264,-0.44590285977536226
G1631,0.007865726933730756,-0.46769714042595556
G1177,0.007909203287918732,-0.47657997205617236
G4510,0.007958298617832692,-0.45624290442651255
G6918,0.007998546506992372,0.484031797066551
G1578,0.008004644636079809,-0.47514001338131173
G6045,0.008105938556007365,0.4545881825190431
G2732,0.008182460638984493,-0.4518586444229309
G1976,0.008191674437439468,0.45948889254443825
G4504,0.008201944194517124,-0.4762727204713943
G5991,0.008204376161690664,0.4605180874321533
G6848,0.0083713395078807,-0.4518199429434161
G5810,0.00841829394405369,-0.4429608418870673
G5971,0.008440444939676555,-0.44745774540467187
G1437,0.008670820405608555,-0.4310698848349332
G7332,0.008727109716145143,0.4640835046315258
G3635,0.009008132015079676,-0.45115809717363076
G1460,0.009025705690485853,0.44811595322518355
G5227,0.00902880325544079,0.45609409982585736
G6850,0.00904297935793637,-0.43684625444530545
G3295,0.009150176497836757,-0.4401268288533781
G6963,0.009170337500081276,-0.42217740612252264
G7259,0.009292801839584714,-0.4067421767679663
G1728,0.009456356166444382,-0.4523407798588066
G1884,0.009523255782528267,0.4324359051275187
G7435,0.009549939025567977,-0.42672399510886355
G3037,0.009655459309672034,0.4547283699776765
G4938,0.009682943048736254,0.4190647598577367
G5301,0.009859474035556624,0.4553287751196567
G3108,0.009894943034738181,-0.43779223195621586
G4383,0.00997247050760587,-0.43079519376473996
G2454,0.00999760070762089,0.4383906695393728
G5472,0.01004912663263475,-0.4516715932701807
G2148,0.010166374008443944,-0.4174716421958213
G6630,0.010168046491897047,0.43854330674959147
G5535,0.010263894879492886,-0.44406177155125415
G5483,0.010276502352066251,0.45736425699316235
G7063,0.010299772134675419,-0.45294967111870366
G6875,0.010317055013033732,-0.4286497511340118
G2118,0.01033840935129377,0.443414500876815
G4178,0.010423732342859648,-0.45505513240270545
G4097,0.010427213978812558,-0.44689295344946983
G2977,0.01058639392717081,-0.4372595447941534
G5701,0.010702503903875159,0.42602504211730485
G1339,0.01074301869132101,0.42333150483380355
G7727,0.0110153051911052,-0.4369864903322914
G3177,0.011029158053969007,-0.43081995205998636
G2825,0.0112020789761521,-0.46688760120955475
G51,0.011456559901858903,-0.42997290330579224
G5462,0.011712536379315002,0.43576050244511033
G5043,0.01172933571386553,0.446397511754048
G5116,0.011797781600376173,-0.4357895823794383
G5695,0.011811477916261102,0.42231024445044185
G4895,0.01199387322543783,0.45296074041168394
G723,0.01202321019644648,-0.42453551969339093
G5230,0.01216360077596058,0.4403183760237972
G7985,0.012310727451881815,0.427148614941126
G110,0.012318175963612735,0.4391195062074914
G4604,0.012368760685057732,-0.41406883770493197
G2154,0.012431896759069812,0.4655323052159353
G6349,0.012500218877472047,0.40270927801095596
G7078,0.012616641940864832,0.4408786179553392
G1541,0.012759469192142195,0.45414624622769084
G4940,0.012988166751264336,-0.43155033758257283
G3669,0.013123479096595947,-0.4440639309874711
G1198,0.013348539081671218,0.4309076935596129
G5265,0.013363457324950586,-0.41927272732503945
G7731,0.013781776106013681,0.43086853900390265
G6399,0.013790734078039798,0.4017024668527289
G4393,0.013815088785159163,-0.4273875492479071
G1501,0.013817040742363985,0.43152137195335843
G362,0.013964152161024132,0.44377967579913985
G2120,0.013990083292657163,0.40710934119010356
G5874,0.014058095493442455,-0.41588457932488543
G2862,0.014190808547780752,0.40964394062925774
G7347,0.014307073093155515,-0.45731688272341964
G1135,0.014561557359745292,-0.4175260255137338
G3401,0.014673305086550126,0.4200039756852634
G993,0.014713265883812054,-0.41667324780753184
G3535,0.014731403525437173,0.39616712132194876
G3510,0.014756767678567581,-0.42086338424229863
G6436,0.01478284735581804,0.416016424121361
G6906,0.014948164528311447,-0.4301547412777744
G5853,0.01497449656844218,-0.44333522110929596
G3966,0.01501951727408427,0.4220821754359142
G5446,0.015303324231216888,-0.44870835506844275
G703,0.015308727245194154,0.4051463763402866
G388,0.015378883388162401,0.4070179065250461
G6455,0.015484350105596671,0.4235101396741381
G7645,0.015504523992725519,-0.41466764048149624
G1275,0.015509640697373183,0.40751797290839337
G7698,0.015511819392524976,-0.4020538020374014
G3593,0.015580230714619262,-0.4051161469599941
G6254,0.01570080929158174,0.41615955382701825
G6245,0.015716524672741768,-0.4340951863834588
G4035,0.015911094137547627,0.39610225824828466
G2384,0.015998149469949687,0.4272928592594119
G3636,0.0165284495021499,-0.4043119840027478
G1857,0.016609159991504453,-0.4046996748723165
G1623,0.01666631138559698,-0.41422879695710013
G481,0.016849003748571734,0.4079026546414161
G1161,0.016911912886181987,-0.4251794174981058
G3112,0.01707611029516867,-0.3943672043368367
G5622,0.017104217723921573,0.4200407623571719
G7884,0.01712557163132297,0.39903528389124
G7030,0.01714472687889762,0.42233492626809643
G4499,0.01724797588381529,0.40623005571071064
G5947,0.01769711446683685,-0.4139758154060043
G699,0.01769767550017498,0.4314668253833478
G1878,0.01805381113375148,-0.3961595822952649
G665,0.018148069896626325,-0.41228560571131423
G3350,0.018321175002234687,-0.4276913024705383
G2004,0.018385224141385534,-0.3935596084887223
G6744,0.01845461886947049,-0.3962357207477527
G4944,0.018465885997441138,0.41459667989636806
G7526,0.018491352456476446,-0.41354937384979484
G7820,0.01858487083853172,-0.4161994171298776
G6395,0.018609748887793313,0.4122933600633821
G5845,0.01868103539682085,-0.4065384281783341
G339,0.018761914818049195,0.39613074068323484
G5037,0.018765370222744337,0.41623852017204815
G467,0.019038525928616046,-0.4048164884258059
G7365,0.019056948887818715,-0.3733908837176464
G5161,0.019160843673897296,0.4050195477096574
G1973,0.019402115670562957,0.3687217130830761
G5597,0.01947053334987434,-0.39999823503441323
G5625,0.01950533137577814,0.3913466509132928
G5128,0.019517549652943708,-0.43411585524544677
G7632,0.019557536153850884,0.40536859388459556
G1500,0.019625865887108296,-0.38244971727024385
G813,0.019952315535328786,-0.41043135915214124
G932,0.019954267749657938,0.39226254191365895
G2657,0.02003627379908349,0.3886421461229613
G1090,0.02004796998403024,0.39601540891862963
G1895,0.020085157178561932,0.400874992346481
G7462,0.020126750149307805,-0.4028533786408556
G5819,0.020138066994577552,-0.41262760531219045
G5005,0.020169406680324433,-0.40387172892168965
G3255,0.020174506111462612,0.3596305991143732
G866,0.020288423911458478,-0.3849378229424449
G4706,0.02036112363047201,0.40341566012049024
G7705,0.02043264751156925,-0.40923795599003143
G2691,0.0206024575584236,-0.41063829157285714
G1558,0.020878572832686286,-0.4098369612443242
G556,0.021034513649664535,0.3980907179493991
G6733,0.021076537123217595,0.37201224021134904
G143,0.021210674452317637,-0.38906259853496816
G561,0.02131263785369396,0.4196463435090424
G4163,0.021391373581844304,0.3953368539825196
G4267,0.02141553027080492,0.40106279554223734
G5215,0.021471876463597155,-0.38819067190653467
G5326,0.02158175606440563,0.4331938127290224
G257,0.021632643468545387,0.42522310080949405
G214,0.021641104684028058,0.37197351802862416
G2738,0.02172869220875517,0.38996697328293595
G1725,0.021819466608871897,-0.3911059829038369
G6355,0.021905110954951956,0.3875072954293939
G7866,0.0219364531050667,-0.41930076365572455
G674,0.022208025728455,-0.39616819991474195
G3467,0.022241089018809848,0.37946616222248764
G499,0.022246395717561995,0.3691255843157339
G3504,0.02226781086365786,-0.3746041299122873
G5124,0.02244742031978338,-0.4059233050742922
G3596,0.022570415325524004,-0.4094980403510759
G259,0.022573537821179383,0.39097738786260455
G2945,0.022696578660831374,-0.39285007198130556
G6756,0.02274610362747464,-0.38895745402211496
G2779,0.0227653479328807,0.4015213619453999
G981,0.022806104733925834,-0.4119352590881294
G6612,0.022832758386112793,-0.3929053038434348
G322,0.022857130762572956,0.3935190013541856
G7014,0.022863205990731588,-0.3900804104653769
G7158,0.022900561364046015,0.4043504080265835
G1268,0.0230680548813476,-0.4166570680179591
G3453,0.023228837337974217,-0.36705452593114074
G4965,0.02323412665336733,0.4073564180740638
G7806,0.023313441663429604,-0.40506977886493656
G4545,0.02331910201988218,-0.4046162115543906
G6890,0.023386123466004115,-0.3635249031844582
G6450,0.02352938240966159,-0.38105973090479106
G3254,0.023581194100987232,0.36964610958622524
G1390,0.023723359889607092,-0.3888498813096236
G311,0.02398514843660245,-0.4154683010729363
G6189,0.024167363752531888,0.38895540538474516
G5948,0.02432646034530625,-0.42339183278663617
G7610,0.024729455176025747,0.40005908219876496
G3820,0.024933283761681548,0.3849966372463581
G3042,0.025057747572852545,-0.3476762455433381
G1991,0.0251587709995131,0.3844127331591182
G1294,0.02526201854973718,-0.3800073581459873
G5262,0.025343439616749456,-0.40221969611940356
G1005,0.025522155245615425,0.4103141181168244
G3748,0.025533603473476305,0.3915743565022385
G1717,0.02558192113644663,-0.38044336189409256
G686,0.025861494259119336,0.36931576801941957
G7707,0.0261947676323783,-0.37195933031303463
G5440,0.026282850828764446,0.38625494780746916
G7585,0.0263481646589737,0.38210981481156087
G5686,0.026717496440518348,-0.38345043087165154
G7815,0.026857066687252934,-0.37696755098444407
G2544,0.02690352485673581,0.39447885856366
G5746,0.0269422058963115,-0.39928439938713456
G3363,0.027115923148863727,-0.3759729119825147
G2139,0.02715838946871348,-0.37951838468820226
G4296,0.027194242649355813,0.39232437387715013
G5891,0.027199859753296987,-0.38713173698616465
G4843,0.027201597820690204,0.4022976905666973
G2768,0.027243008852914866,0.3771660220479175
G508,0.02748069142658144,0.37200376823365466
G5703,0.02758284087604258,0.4001454655658366
G2314,0.027797017303538337,-0.38210792971689145
G5503,0.027843833906467413,-0.37403843048189656
G5987,0.027865389202850838,-0.3814870098065418
G540,0.027919754999931837,0.3715509145271332
G3423,0.027987727938570236,-0.3558822537268338
G3001,0.02804231778309915,0.3882565903176845
G6584,0.02821465827511041,0.3603621271101516
G3573,0.028367523848459385,-0.3845221937992639
G2659,0.028370673370492473,0.3494261205995276
G6928,0.0284311387582008,-0.38284864990109624
G5260,0.02851002452154927,0.38327808907709227
G1513,0.028569569727941013,-0.3606173914565364
G704,0.028715747990480094,0.38267198837947713
G4919,0.028874459065324574,-0.37585693282631827
G2549,0.028965707844106736,-0.3871819237262719
G1620,0.02897989156239919,-0.3800483728950617
G1634,0.02908062098220763,-0.3843915908367834
G6086,0.029225282894270406,-0.39300025740075595
G5214,0.02926966059270402,-0.38049070627805204
G81,0.02930938773381194,0.3827815843367141
G6618,0.029417449570571207,0.39983813080340475
G49,0.029419535444769537,0.3604444244236067
G7223,0.029483067281865623,0.3733496279810217
G2866,0.029574119929610048,0.3590586490572498
G538,0.029822699290744305,-0.3646784310112345
G3069,0.02993473860482955,0.36153639557454303
G97,0.030017523872413767,-0.3917122778335763
G6752,0.030114886761753203,-0.3673800777149
G990,0.03014319076117408,-0.3638376176279521
G6181,0.030308226240471473,-0.37143272313055076
G5650,0.03039713916149471,0.3844395019035849
G4766,0.030458983627735723,-0.3971687853875893
G141,0.030517105771026364,0.37457704036238126
G1798,0.030538081126774985,0.37880951784227734
G2940,0.030567828054153402,-0.359413575826384
G2330,0.030873789855258963,0.3333203999970724
G3353,0.03102716996324744,0.33830540198768094
G2800,0.03111009029738802,-0.38248266681307774
G3575,0.031315274019364944,-0.3894606848544576
G1614,0.0313678675340415,0.38173854980996696
G7780,0.03170651781920704,0.38518532323950955
G2666,0.031835836044210246,-0.3651983426872534
G3161,0.03185602776716637,0.36914227033646896
G4775,0.032377503495693245,-0.3676245208839365
G1751,0.03248572563890401,-0.36190394216094157
G1394,0.03252223215109078,0.37418727981630073
G215,0.0325328394196101,0.3706900896933115
G2413,0.03259676836510812,-0.3785526943037264
G6281,0.032659941065102255,0.37746226077153455
G5479,0.03291475498682185,0.3575784592123711
G5406,0.033185772628372905,-0.3621798781220712
G7624,0.03323452347416775,0.3533963617054827
G2500,0.03347853879543487,0.37969145922774206
G5422,0.03348687861634259,-0.3540411182963846
G638,0.033503492989243065,-0.3814470199956509
G3967,0.033706706692194,0.3729893137390483
G6415,0.033825911055521046,-0.37156005987767526
G917,0.03384778151478455,0.3768403376501039
G6585,0.033921219591432544,0.3659214190956265
G7459,0.033976070689975706,0.36261069452453626
G6205,0.03402278809170179,0.3578673114169771
G4611,0.034054837091149315,0.356639415960577
G7541,0.034207380091871714,-0.3353610566424885
G4641,0.034513452030746516,0.35315020428429517
G3910,0.03458884949931293,0.3459864778844559
G6572,0.03464362556615529,0.36227982578311185
G3779,0.03472947582063691,0.3700068729576423
G354,0.034734664058531914,-0.3700889460824722
G7119,0.0348038355903243,0.3657991660529077
G5867,0.034806811194030465,0.36335207322855334
G324,0.034821092989644045,-0.37228821783454147
G1696,0.034927229210940325,-0.364939636775334
G3072,0.03496419209580381,0.3668922994625204
G2176,0.03502395484736073,-0.36681430109314567
G1947,0.035062210879788204,0.3714599965143055
G6229,0.035106636615992316,-0.37601673624191906
G7427,0.03514427818222342,-0.35000701253338684
G6593,0.03515820219915853,-0.34326071743385067
G2775,0.03516162988701134,-0.35833645540365
G4633,0.03519353058652576,0.3510641262428478
G5654,0.035281377608125414,-0.3569865115481433
G5668,0.03532528869931708,-0.35807575061343944
G734,0.03535176217701258,0.3690046558974134
G3691,0.035364306085571624,0.3660275818190756
G1205,0.035417014582503806,0.3716445782393058
G2559,0.035807688868458844,0.36685323158458893
G950,0.035928858682086236,0.35728029841813536
G7438,0.03597186738453172,-0.371058369902566
G6894,0.036010071749618455,0.3822659385387297
G6357,0.036123715196794456,0.34681054884935286
G7531,0.03621657525755265,-0.35149876799264834
G489,0.036358718112455383,0.3551683958982383
G5758,0.03640075230675052,0.36111442883423467
G1469,0.03702820342615236,0.3725707758558686
G3481,0.03724234555841912,-0.36137516721821494
G5004,0.03743259650629753,0.35618464724586196
G6014,0.0375900876719989,-0.35159637926593146
G6273,0.037649133787894834,-0.33779106928012814
G4327,0.03781663176655757,-0.3633766317000065
G4350,0.03793200504407289,0.3589407230826335
G6889,0.03798793323518351,0.36074188789969286
G5298,0.038134047727907565,0.3417299943006503
G11,0.03814734231563699,-0.3668802352375243
G5271,0.03815758065317089,0.33589330246110805
G1606,0.03852809415272749,-0.3595991972574202
G5114,0.03856663559956742,-0.3739415599894991
G4642,0.038691179903485,0.3682197403753805
G3832,0.03892641113816253,0.33811553716930787
G3093,0.03917937487697778,-0.35638550264626323
G2122,0.03936619305650729,0.3492637822635165
G761,0.03952548961406719,-0.3362544498260213
G5719,0.039546219705358106,0.3427737295952081
G6042,0.039675251362147605,0.35752989453863865
G3736,0.03978598228940051,-0.3460916283904414
G7210,0.03996582129271112,0.3555068388180747
G5078,0.040204174351090374,0.3525729509452027
G5579,0.04024046536689697,-0.3504464887683661
G4685,0.04048796003229019,0.35684593166173906
G4861,0.040605244661840185,0.34777118771805654
G2547,0.04082983885843187,0.3556675134306324
G1574,0.04086931068427259,0.341556079173745
