gene,pvalue,logFC
G7639,1.1326622728173347e-05,-0.602122945813298
G4537,6.437466753993426e-05,0.5579125257648077
G3819,0.0001586960051423798,0.5305422025268051
G2639,0.0002825373133349669,-0.5101937207593712
G6993,0.00030326344519779276,-0.4981007647114235
G2,0.000336840843522691,-0.5056638818449014
G7787,0.00035140906893338803,-0.49960246161804167
G4457,0.0004899279912752348,0.4881753931650493
G481,0.0006356567518084536,-0.47835195340999787
G4660,0.0006939872304734654,-0.4753821474646736
G108,0.0007222829282904686,-0.4762107415974308
G3826,0.0007293225814522596,0.4702721824320102
G4480,0.0008844844356284164,-0.46969966221979653
G1911,0.001227289791143934,-0.45222768410655867
G4316,0.0014433197596177283,-0.44426761378799723
G6471,0.0015449666349300415,0.4470689331586035
G1211,0.001550435563725282,0.44344128259796534
G400,0.0016077345786208916,-0.44560197396016
G3586,0.00169756223748267,0.4421852699978981
G1160,0.0019249137495241221,-0.4385481026349704
G3925,0.001983610502089401,-0.43483522834084154
G1246,0.0024354177095965565,-0.4207986194120611
G743,0.002523944831632846,-0.42495182273363835
G573,0.0026411386619642346,-0.42301496886793
G5703,0.0027274799490484736,0.42443869481545893
G450,0.0028074184861402165,0.4212764772115126
G5208,0.0032350985873540617,-0.4106511007488342
G1852,0.003252606836995022,0.4110072909011761
G2048,0.0033162830033078633,0.41752590073444307
G7438,0.0035925637546673403,0.41055453686118054
G2998,0.003764851773931922,-0.4084048593591313
G7624,0.0038456673295074236,-0.40464958461436706
G5120,0.003966497680245079,0.4035571425515344
G5925,0.00400404377797797,-0.40135122468155116
G7247,0.004008856643376417,-0.40504339118360655
G875,0.004185113785518871,-0.4003622121622635
G3827,0.004193956058029336,-0.40265834008290025
G4940,0.0042723195806218806,-0.4043829824108104
G6676,0.004468509155102866,-0.4015116907641133
G5913,0.004596758417348781,-0.39739434078745706
G5048,0.004713565255888903,-0.40064993826874984
G2329,0.004898269615801407,0.3980208097488255
G4317,0.005023328362914841,0.3918071997301983
G5676,0.005221859034876917,-0.3965488290623437
G2016,0.005237343583543918,0.3934505992028092
G1018,0.005959587636314847,-0.3882592803382062
G3385,0.006134036019188617,0.38633173670961546
G5575,0.00641895993045251,-0.3862084091542129
G6740,0.0064621172974743,0.38307777572223933
G4102,0.0065293769814857286,0.3848706177274843
G3877,0.006581982727631144,-0.38017848151416334
G3194,0.006589434207719512,0.3781674539122637
G705,0.006620377246155077,-0.3852254799507704
G731,0.006623648062423926,-0.38398525895272273
G1876,0.006626734950460952,-0.3850533203026941
G4091,0.006729344812225321,0.3846270750910107
G2015,0.007126687051902917,-0.3779045491226003
G2874,0.007248897282845746,0.37941215356173186
G2951,0.0073520848561241785,-0.3732294188358739
G1825,0.007899114890022506,-0.37299928555940265
G4725,0.007922529300290524,0.3747107120058285
G1240,0.008036011250232688,0.3711696789302061
G5192,0.008196010084506924,0.3743642821021175
G2505,0.008196085794842038,0.37077877752504546
G1124,0.008315879287457384,-0.36879658581127783
G742,0.008585750082239677,0.3716280912477278
G4987,0.00871302115910047,-0.37048416613207735
G1998,0.008725902361024149,-0.36877161457885754
G3939,0.008782092003319423,-0.3740673937152166
G1892,0.008790414521657408,0.3708955271789914
G5183,0.008798448430914431,0.3680636018359347
G5381,0.008840030292547901,0.3693166683644008
G5565,0.00886352761953546,0.37191826540642287
G5490,0.008935900926055472,-0.367776490836109
G2693,0.008940048976946129,-0.36778773065661086
G6008,0.008948030824769491,0.3697090957975714
G6872,0.008994119007547015,0.37210993858682856
G6667,0.008998147623722868,-0.3744440242693057
G1988,0.009035826763813853,-0.3676011034516435
G6278,0.00915625081144137,0.36855548455322545
G5293,0.009403863306321784,-0.3677695214758022
G5617,0.00947980069139942,0.36813949624048825
G5108,0.009493845954154005,0.3644215217259915
G3116,0.009556409833180025,0.3622766813674747
G1798,0.0096077933555364,0.36227630840981906
G7877,0.009674176683865625,0.36262232270786543
G3504,0.009859278714608016,0.36681494764633926
G5713,0.01013106633090532,-0.3638336597769521
G6420,0.01020301088241272,-0.3621866477808353
G1474,0.010288215779496386,0.36409700023275704
G5018,0.010415144199883666,0.3596170626742653
G2247,0.010562387323355103,-0.36223483362241793
G5606,0.010886395987694256,-0.3622653922427995
G4966,0.011091177338531443,-0.3574139384142935
G3895,0.011134103553466057,0.35929818825166987
G5225,0.01147706845314361,0.3572058908258848
G2747,0.011987867071505696,-0.35834055418996835
G4942,0.012302919952785847,-0.3573334250338345
G3899,0.012312947908722716,0.35195662354796453
G2507,0.012421833450331852,-0.35323063616116335
G6110,0.012508041505595584,0.3503556482451018
G5056,0.012620191749761983,0.353228691124428
G7190,0.012711921045901511,0.3528493967688393
G6167,0.012736731654504285,0.3512474843774478
G5487,0.012981419358795982,-0.35006072842089087
G7362,0.013083192150660297,0.34866123623023215
G3559,0.013553679361298357,0.34834032396378894
G3183,0.013609436747947713,0.34612775254724804
G7495,0.013613358762428373,-0.35106339616562016
G7761,0.013629967298280527,0.3476828543874706
G7804,0.013982704408077603,0.3472262817067069
G1477,0.014043893124410239,-0.3447548019616727
G1796,0.014120898415963236,-0.347895221508446
G4978,0.014200418801098699,-0.3503951143427791
G2396,0.014476464726983485,0.34682784343283424
G4622,0.014625703598217885,0.3438744212769256
G3045,0.014779896744110092,-0.3460394055015652
G6183,0.01481316719342958,-0.3425877277002807
G4877,0.01481903436027968,-0.34284961005580905
G1459,0.015009538397444986,-0.3435894783776535
G1820,0.01518014617865665,-0.339288496117465
G6262,0.015218584848828254,0.344688595548798
G2936,0.01522748162642601,0.3393688421693639
G7033,0.015232212290325784,0.342696640765743
G1641,0.015270725115324488,0.3403102377554208
G212,0.015288919774984339,0.34336686040364917
G1888,0.015293824064973862,0.34045022931674185
G3647,0.015519480790174043,0.3393993758358471
G4308,0.015583496331510838,-0.3383163749188972
G3560,0.015693244892258873,0.343541119575401
G7224,0.015716019786234946,0.33954729026509023
G2840,0.01580654606723789,0.3421115243622662
G440,0.01589296554957227,-0.34439907878536047
G6029,0.01615598513533069,-0.3400874036422127
G5698,0.016250809391184288,0.3354010996462415
G2184,0.01631370143686062,0.3403595577520575
G2651,0.016372261149338874,0.34033550697858317
G2244,0.01661286577354916,0.3413297098016578
G5250,0.016703907398662794,0.34406212591622687
G5562,0.01676066380400233,-0.34144844836969834
G6371,0.016772164964033914,-0.34079016329771655
G3869,0.016820909620121546,-0.3333950687977205
G2371,0.016870923248001515,-0.3390639210526347
G3471,0.01705270288287645,0.336007518080574
G1016,0.017211168295704987,-0.3338829743880579
G200,0.0174828663821861,-0.33285683851014475
G7461,0.017486484938762176,-0.3390043184592042
G5405,0.01752307502903298,0.33470451414806646
G3419,0.017571676049769676,0.33158834560909306
G5356,0.017684585088656078,-0.3367243286484016
G7608,0.018455635874950208,-0.3359221508973077
G4432,0.018457347150664494,-0.3380937621565443
G939,0.01864041686411078,-0.33605262242047057
G3405,0.018641154152208426,0.3316448553835044
G5113,0.01879418628376384,-0.33284562206731905
G7547,0.01885781179321048,0.33170297645391644
G2927,0.018963421692593487,0.33033065480569723
G6635,0.01919709426542846,-0.3317192860251391
G1957,0.019291199531071782,0.33329606179107096
G7905,0.019300154597654124,0.3307182238468571
G833,0.01935710718905871,0.3298711012840184
G5021,0.019578832773722105,0.32954602658571963
G5232,0.01968435011125692,0.3317304707684905
G557,0.019693760091139906,-0.3309422292990136
G2754,0.01988390031028547,-0.32711553621000905
G2002,0.019933345285366506,0.3295083740900656
G6925,0.020051116599688876,0.3308326498796462
G3331,0.020093393920774156,0.32744197680334775
G5447,0.020175293536055468,0.3261404072683824
G1914,0.020181930879656147,-0.32967222384247497
G3611,0.020198697516072946,-0.327567140848317
G6437,0.020219676768157467,-0.33125214068574055
G7771,0.02039641897104705,-0.32743586779727707
G6611,0.020431687360851884,0.3216649301795402
G555,0.02045450910077625,-0.3256953502986613
G5866,0.020575109264775612,0.3299412408225756
G6317,0.02059456738565812,0.3239353587658118
G6905,0.020629639632019275,0.32318630936207376
G702,0.02069847181394786,0.3258757969071299
G981,0.020815022582326898,0.32816449063044256
G5142,0.020847518761469563,-0.3243672846181981
G3922,0.02096580407574476,0.32494408123247154
G4730,0.02097447585485411,0.32665089378891543
G4634,0.021176553996136445,-0.3227889203012461
G7454,0.021179937438407168,0.3241045583549398
G5453,0.021379356223672298,-0.32332713149974746
G3750,0.021438577264855787,0.32901458170577924
G7819,0.02172670604888853,-0.32304883446624305
G314,0.02186020298355302,0.3238039401873869
G4224,0.022112707094959196,0.32202367409069543
G5987,0.022461195782855457,0.3215442709960844
G84,0.0225712349778221,0.3216486359410917
G1498,0.022603405399751343,0.3224939306237939
G796,0.023231641393902283,0.32137996513704364
G1117,0.02345279784264228,0.32240246554413965
G1712,0.02355049012419483,0.32227487521444054
G1243,0.02380114653984971,0.3193632060732047
G2803,0.023813476917210804,0.31792415382734
G7812,0.023871098209894765,0.31688884229607195
G5065,0.023979954373546376,-0.3190288138703443
G1126,0.02403717505855524,0.3218540624988292
G6252,0.024181315731189798,0.31935196526642495
G6861,0.024367648708468047,-0.3197343378861047
G5936,0.02454331904816395,0.31928656956441637
G5812,0.0245963135492812,0.3171453631269634
G7129,0.024598974739292855,-0.3204205106845679
G7681,0.02467340296354604,-0.3177409599924911
G5867,0.024722514470978677,-0.3201782280976465
G4849,0.024769188558185502,-0.3178664519414243
G497,0.02495932363011223,0.31612404696862656
G491,0.025069433709785947,-0.3185159897235553
G2590,0.025100543359366758,-0.3157362123510446
G5153,0.025580181527880348,0.3167509051421019
G1646,0.025803808542468543,0.3141483965795166
G5605,0.026209477103668163,0.31323135062028734
G5877,0.02626241625324477,-0.3157649632838855
G3902,0.026270849285174962,0.3147183427130754
G7014,0.026365176520711783,0.31667914814705544
G2964,0.026439977170792533,0.31385621606879316
G4092,0.02647142343731089,0.31546645908599386
G1806,0.026536097046100184,0.3133515520250606
G2730,0.026647743474454266,-0.31251334167421196
G1137,0.026967790615970783,-0.3129176373373186
G6894,0.02716125237158524,-0.3135629704660263
G838,0.02719167599748684,-0.31213569661710705
G1458,0.027208653335209318,-0.3120762153976129
G1131,0.027277493533897388,0.3137726497844288
G7099,0.027348646885382674,-0.31307417853372865
G6932,0.02750309232307872,-0.31355330041952134
G2919,0.02750752716140907,-0.30981092061538984
G765,0.027511806750152298,-0.30811527398559835
G7638,0.02755575856208174,0.3109480682655207
G7097,0.027611037043785962,0.311604556103439
G1490,0.02762064493261996,-0.3080705754687666
G6986,0.02771130166539893,0.3154998932290849
G1495,0.027829016148533506,-0.3118916863789154
G4784,0.02787924244494998,-0.3132708945801367
G2836,0.028175471239633536,0.3085319270261808
G7759,0.028765590815851547,0.3097104896177537
G1526,0.02889235335320454,-0.30622352994957835
G1180,0.02894333638844025,-0.3045891287411596
G5607,0.029220390417935053,0.3097686157567361
G3049,0.029273431459556794,-0.3081835307799422
G2097,0.029387221554242907,0.30900412825554824
G6523,0.02957500626540223,-0.308177399610597
G3956,0.029891578945109555,0.30685089685037936
G5131,0.02993487236194359,-0.3078846346844155
G5882,0.030275507171726564,0.3071432215124064
G6946,0.030465648182413426,0.30406830326892864
G1030,0.030696749202585565,-0.3077519278360159
G2870,0.030850831174180637,0.3050752663884254
G3572,0.03122154968292489,0.30530774507376024
G5648,0.031257464605327405,0.3031298804069795
G5963,0.031390403476655185,0.30322545926635924
G5135,0.03139548091394611,-0.3026949131173329
G2381,0.03159945334998347,0.3026564075616228
G7628,0.03161720150266803,0.3024021360005272
G6525,0.03166132517870442,0.3015698938041833
G2571,0.031700556555483296,-0.2997804655318611
G5869,0.03174933537150019,-0.30508522028310137
G4625,0.031833619367859105,0.3051291288553457
G3755,0.03196227609119847,-0.30269822684814096
G2197,0.03197415443877265,0.3058747319658396
G7882,0.03204479507772573,0.30099902446489313
G710,0.032082993201092244,-0.3002818241084211
G3811,0.03223196258729687,0.3049841802904114
G6612,0.032340996076553954,-0.3024588395433275
G6938,0.03260482855865027,0.3013842289483011
G1851,0.03264623220943429,-0.3018874425637288
G7475,0.03319060495426654,-0.3007814977412485
G7668,0.03340030902144998,0.2990957574400299
G7479,0.03348611569106536,-0.2960890525409353
G7101,0.03365263379015278,0.29992129771532267
G77,0.03377434200361917,0.30012051966239056
G4013,0.03390390279677014,0.2996351093226045
G7088,0.0339459980955809,0.29753026574076363
G4915,0.033947181222669244,0.29664383029789787
G6165,0.034197030466938026,0.2968200924014396
G5506,0.034722750032488994,0.2994126793545244
G986,0.034722962237891494,-0.2971909355104181
G5464,0.03476221317619988,-0.2967808390308537
G7148,0.03482184551438061,0.2993523787740783
G6249,0.03488199913443034,0.2970950820200472
G5764,0.035003664034048455,-0.2997958701146862
G3651,0.03510552795310324,0.29713458256579384
G719,0.03537830435694861,0.29994773324476404
G1656,0.035713650273488017,-0.29931347441867795
G1619,0.0362740651913649,-0.292516611729852
G738,0.03656469191117807,0.2955792182641578
G3005,0.036594516280285275,-0.2951360614269214
G7533,0.036875397686973996,0.2932026541648578
G6866,0.037802137422787624,-0.294274631499438
G5923,0.037824939950905814,0.2933592223663334
G5058,0.03782797468567078,0.2907598893472786
G1274,0.037845897995926664,0.29344463707343665
G4822,0.03795891691580673,-0.29235863151862945
G3332,0.03802198076652431,-0.2904472370293303
G5054,0.03816522237847924,0.29345348021565254
G5580,0.0381734474450672,-0.29297199585894385
G3044,0.03846719180122405,-0.29084781577675806
G5830,0.03860929445923289,-0.2913356325252864
G7363,0.038768615090596176,-0.29049247065025674
G3408,0.038774642502419264,-0.29240800146407503
G2229,0.03882100624796888,-0.29314006428461087
G2780,0.038857635035050395,0.2934066729103134
G7950,0.03888546199641938,0.2923744415549497
G4149,0.03902384531704756,0.2914007839578393
G1612,0.03911739381933697,0.2913117901605216
G6472,0.03919271859293604,0.29174702115401496
G2958,0.03939116667289804,0.29183027355835905
G7229,0.0394401235035597,-0.29059676297647447
G6789,0.03946651883333187,0.29322456482824266
G496,0.03947580977213961,0.29029749047071507
G4821,0.03948160974523588,0.29234400657089077
G7855,0.039517201304802706,-0.2898362419867829
G1174,0.03953362810521636,0.2884622254678408
