gene,mean_abs_shap
G6993,0.3512984
G4480,0.3319593
G2951,0.28922755
G400,0.23034492
G3611,0.20490828
G3560,0.19138889
G1446,0.12975723
G3939,0.1235909
G4457,0.118877426
G1561,0.11796711
G2048,0.10858271
G5925,0.10518364
G5750,0.10254498
G3819,0.096648365
G5789,0.09200743
G7438,0.08975086
G7597,0.08919702
G5601,0.0868905
G7845,0.08556974
G1018,0.08554733
G1825,0.08356576
G2840,0.08299624
G6471,0.08170964
G6409,0.074524105
G2639,0.07420299
G7975,0.071858816
G5208,0.06880142
G7639,0.0686581
G1876,0.06629141
G3870,0.06605293
G608,0.062031627
G6676,0.06168883
G3877,0.057955693
G5959,0.05482942
G5963,0.052621394
G1003,0.051904846
G6105,0.050990887
G2651,0.04920661
G2776,0.046337385
G4660,0.044362098
G2936,0.04358688
G875,0.042664368
G2396,0.04158462
G3472,0.04080568
G7787,0.037934437
G2219,0.037917115
G743,0.037186295
G497,0.03706157
G1124,0.03701051
G5526,0.036072068
G6050,0.03603862
G5866,0.03471587
G6740,0.034364972
G1820,0.03330514
G1010,0.032194205
G3977,0.03130757
G7819,0.031038776
G5764,0.030283313
G7412,0.030180663
G6635,0.029591715
G4690,0.029241908
G4091,0.028959375
G2212,0.028669555
G5087,0.028613562
G5676,0.027139332
G3183,0.02684378
G2693,0.026366463
G6453,0.026157767
G6965,0.026024872
G939,0.025280308
G2190,0.025208125
G2,0.024195809
G3194,0.023670454
G7213,0.023410693
G7247,0.022658886
G3721,0.022622257
G7286,0.022293609
G3457,0.022241088
G7479,0.02176797
G4810,0.021758087
G838,0.02149997
G2053,0.021446303
G4839,0.021406274
G3049,0.021400187
G6866,0.021155763
G3124,0.020742077
G2874,0.020552393
G7208,0.020305976
G963,0.02001209
G6979,0.019219432
G4634,0.018963363
G4978,0.018756153
G3895,0.018518617
G6789,0.01815753
G4915,0.018016113
G2646,0.017831985
G6244,0.01696963
G6051,0.016957175
G2247,0.016857196
G384,0.016815487
G1203,0.016795244
G2600,0.016751487
G2097,0.016405592
G6670,0.016307224
G6833,0.016242582
G51,0.015753195
G981,0.01574012
G1075,0.015474652
G719,0.0152919395
G1474,0.015122442
G1911,0.015105951
G621,0.015027953
G3541,0.014746544
G481,0.014489626
G7466,0.014483089
G3967,0.014397496
G7806,0.013965948
G6402,0.013965349
G4317,0.013779241
G5820,0.0136096
G5581,0.012986541
G2322,0.012901813
G7855,0.012829632
G4642,0.012826428
G118,0.012758392
G6925,0.012701484
G4608,0.012540264
G7332,0.012310264
G2056,0.012208434
G4503,0.012200681
G586,0.012138771
G7784,0.011954002
G647,0.011917173
G765,0.011914706
G6592,0.011726295
G3006,0.01170529
G2005,0.011611012
G4165,0.011603714
G4816,0.011409315
